ACDP,AMERICAN COMMUNITY,04/21/2016,NASDAQ-OTC
ACDSF,ASCENDAS R E INV TR,04/21/2016,NASDAQ-OTC
ACDVF,AIR CANADA,04/21/2016,NASDAQ-OTC
ACEHF,ACE HARDWARE INDONES,04/21/2016,NASDAQ-OTC
ACERF,AM GOLD INC. COMMON SHARES,04/21/2016,NASDAQ-OTC
ACET,ACETO,04/21/2016,NASDAQ-OTC
ACEYY,ACER INC GDRREGS NEW,04/21/2016,NASDAQ-OTC
ACEZ,ARIEL CLEAN ENERGY INC. C,04/21/2016,NASDAQ-OTC
ACFC,ATLANTIC COAST FINANCIAL,04/21/2016,NASDAQ-OTC
ACFL,AMC FINANCIAL HLDGS,04/21/2016,NASDAQ-OTC
ACFN,ACORN ENERGY,04/21/2016,NASDAQ-OTC
ACGBF,AGRICULTURAL BANK,04/21/2016,NASDAQ-OTC
ACGBY,AGRICULTURAL BK CHIN,04/21/2016,NASDAQ-OTC
ACGFF,ACCORDIA GOLF CO LTD,04/21/2016,NASDAQ-OTC
ACGFY,ACCORDIA GOLF CO LTD,04/21/2016,NASDAQ-OTC
ACGI,AMACORE GROUP CL A,04/21/2016,NASDAQ-OTC
ACGL,ARCH CAPITAL GROUP,04/21/2016,NASDAQ-OTC
ACGPF,ACCELL GROUP NV ORD,04/21/2016,NASDAQ-OTC
ACGX,ALLIANCE CREATIVE GR,04/21/2016,NASDAQ-OTC
ACGYF,SUBSEA 7 SA,04/21/2016,NASDAQ-OTC
ACHC,ACADIA HEALTHCARE COMPANY,04/21/2016,NASDAQ-OTC
ACHI,ACCRETIVE HEALTH INC,04/21/2016,NASDAQ-OTC
ACHN,ACHILLION PHARMACEUTICALS,04/21/2016,NASDAQ-OTC
ACIIQ,ARCH COAL INC. COMMON STO,04/21/2016,NASDAQ-OTC
ACIM,SPDR MSCI ACWI IMI,04/21/2016,NASDAQ-OTC
ACIW,ACI WORLDWIDE,04/21/2016,NASDAQ-OTC
ACJJF,ACOM CO LTD  JPY,04/21/2016,NASDAQ-OTC
ACKAY,ARCELIK A S UNSP ADR,04/21/2016,NASDAQ-OTC
ACKBF,ACL INTERNATIONAL LT,04/21/2016,NASDAQ-OTC
ACKDF,AUCKLAND INTL LTD NZ,04/21/2016,NASDAQ-OTC
ACKRF,AMERICAN CREEK RESOU,04/21/2016,NASDAQ-OTC
ACLLF,ATCO LTD  CL I NV CD,04/21/2016,NASDAQ-OTC
ACLP,ACCELPATH INC,04/21/2016,NASDAQ-OTC
ACLS,AXCELIS TECHNOLOGIES,04/21/2016,NASDAQ-OTC
ACLTF,ATCO LTD CL II VTG C,04/21/2016,NASDAQ-OTC
ACLZ,ACCELERIZE INC,04/21/2016,NASDAQ-OTC
ACMB,AGRO CAPITAL MANAGEMENT CO,04/21/2016,NASDAQ-OTC
ACMBE,AGRO CAPITAL MANAGEMENT CO,04/21/2016,NASDAQ-OTC
ACMC,AMERICAN CHURCH MORT,04/21/2016,NASDAQ-OTC
ACME,ACME COMMUNICATION,04/21/2016,NASDAQ-OTC
ACMTA,A C M A T CP CL A,04/21/2016,NASDAQ-OTC
ACMUY,ACOM CO LTD SP ADR,04/21/2016,NASDAQ-OTC
ACNB,ACNB,04/21/2016,NASDAQ-OTC
ACNDF,ASCENDAS INDIA TR,04/21/2016,NASDAQ-OTC
ACNE,ALICE CONS MINES INC,04/21/2016,NASDAQ-OTC
ACNFF,AMSTERDAM COMMODITIE,04/21/2016,NASDAQ-OTC
ACNI,AMERICAN COM NEWSPPR,04/21/2016,NASDAQ-OTC
ACNV,ACCELERA INNOVATIONS,04/21/2016,NASDAQ-OTC
ACOL,PINECREST INVESTMNT,04/21/2016,NASDAQ-OTC
ACOPF,A2 MILK CO LTD,04/21/2016,NASDAQ-OTC
ACOR,ACORDA THERAPEUTICS,04/21/2016,NASDAQ-OTC
ACOSF,ARCHOS ACT NOM,04/21/2016,NASDAQ-OTC
ACPGF,ATACAMA PAC GOLD,04/21/2016,NASDAQ-OTC
ACPW,ACTIVE POWER INC. COMMON,04/21/2016,NASDAQ-OTC
ACRB,ASIA CARBON INDUSTRI,04/21/2016,NASDAQ-OTC
ACRE,ARES COMMERCIAL REAL,04/21/2016,NASDAQ-OTC
ACRFF,ACCOR S A (F),04/21/2016,NASDAQ-OTC
ACRS,ACLARIS THERAPEUTICS INC.,04/21/2016,NASDAQ-OTC
ACRT,ADVANCED CREDIT,04/21/2016,NASDAQ-OTC
ACRVF,AGELLAN COML REAL ES,04/21/2016,NASDAQ-OTC
ACRX,ACELRX PHARMACEUTICALS,04/21/2016,NASDAQ-OTC
ACSAF,ACS ACTIVIDADES DE C,04/21/2016,NASDAQ-OTC
ACSEF,ACS MOTION CONTROL,04/21/2016,NASDAQ-OTC
ACSF,AMERICAN CAPITAL SENIOR FL,04/21/2016,NASDAQ-OTC
ACST,ACASTI PHARMA INC. CLASS,04/21/2016,NASDAQ-OTC
ACSYF,ACCSYS TECHNOLOGIES,04/21/2016,NASDAQ-OTC
ACTA,ACTUA CORP,04/21/2016,NASDAQ-OTC
ACTG,ACACIA RESEARCH,04/21/2016,NASDAQ-OTC
ACTL,ARTEC GLOBAL MEDIA,04/21/2016,NASDAQ-OTC
ACTRF,ASCOTT RESIDENCE TRU,04/21/2016,NASDAQ-OTC
ACTS,ACTIONS SEMICONDUCTOR CO.,04/21/2016,NASDAQ-OTC
ACTX,GLOBAL X GURU ACTIVIST ETF,04/21/2016,NASDAQ-OTC
ACUG,A & C UTD AGRICULTU,04/21/2016,NASDAQ-OTC
ACUR,ACURA PHARMACEUTICALS,04/21/2016,NASDAQ-OTC
ACUS,ACUSPHERE INC,04/21/2016,NASDAQ-OTC
ACWF,ISHARES FACTOR SLCT MSCI G,04/21/2016,NASDAQ-OTC
ACWI,ISHARES MSCI ACWI ETF,04/21/2016,NASDAQ-OTC
ACWV,ISHARES MSCI ALL COUNTRY W,04/21/2016,NASDAQ-OTC
ACWX,ISHARES MSCI ACWI EX US ET,04/21/2016,NASDAQ-OTC
ACXA,ACCUREXA INC,04/21/2016,NASDAQ-OTC
