@JSA,AMEX NET TICK
DJUSHR,DJ US HEAVY MACHINERY
DJUSHV,DJ US HEAVEY CONSTRUCTIO
DJUSID,DJ US INDUSTRIAL DIVERSI
DJUSIF,DJ US INSURANCE FULL LIN
DJUSIG,DJ US INDU GOODS & SRVCS
DJUSIL,DJ US INSURANCE LIFE
DJUSIN,DJ US INDUSTRIAL INDEX
DJUSIP,DJ US INSURANCE PROP/CAS
DJUSIQ,DJ US INDUSTRIAL EQUIP
DJUSIR,DJ US INSURANCE INDEX
DJUSIS,DJ US GENERAL INDU SRVCS
DJUSIT,DJ US INDUSTRIAL TRANSPO
DJUSIV,DJ US INDUSTRIAL SERVICE
DJUSL,DJ US LARGE-CAP INDEX
DJUSLG,DJ US LODGING INDEX
DJUSLT,DJ US LAND TRANS EQUIP
DJUSLW,DJ US LOW CAP
DJUSM,DJ MID-CAP INDEX
DJUSMD,DJ US MINING INDEX
DJUSME,DJ US MEDIA INDEX 
DJUSMM,DJ US MINING & METALS
DJUSMP,DJ US MEDICAL PRODUCTS
DJUSMS,DJ US MEDICAL SUPPLIES
DJUSMT,DJ US MARINE TRANSPORT
DJUSNC,DJ US CONSUMER NON-CYCLI
DJUSNF,DJ US NON-FERROUS METAL
DJUSNG,DJ US NON-CYC GDS & SRVCS 
DJUSNS,DJ US INTERNET SERVICES
DJUSOE,DJ US OFFICE EQUIPMENT
DJUSOI,DJ US OIL DRILL/EQUIP&SRVS
DJUSOL,DJ US OIL COMPANIES MAJO
DJUSOS,DJ US OIL COMPANIES SECO
DJUSPB,DJ US PUBLISHING INDEX
DJUSPC,DJ US POLLUTION CONTROL
DJUSPL,DJ US PIPELINES INDEX
DJUSPM,DJ US PRECIOUS METALS
DJUSPP,DJ US PAPER PRODUCTS
DJUSPR,DJ US PHARMACEUTICALS
DJUSRA,DJ US RETAILERS APPAREL
DJUSRB,DJ US RETAILERS
DJUSRD,DJ US RETAILERS DRUG-BAS
DJUSRE,DJ US REAL ESTATE INDEX
DJUSRP,DJ US RECREATIONAL PRODS
DJUSRR,DJ US RAILROADS INDEX
DJUSRS,DJ US RETAILERS SPECIALI
DJUSRT,DJ US RETAIL INDEX
DJUSRU,DJ US RESTAURANTS INDEX
DJUSS,DJ US SMALL-CAP INDEX
DJUSSB,DJ US SECURITIES BROKERS
DJUSSD,DJ US SOFT DRINKS INDEX
DJUSSL,DJ US SAVINGS &LOAN ASSC
DJUSSP,DJ US SHIPBUILDING INDEX
DJUSST,DJ US STEEL INDEX 
DJUSSW,DJ US SOFTWARE INDEX
DJUSTA,DJ US TEXTILE & APPAREL
DJUSTC,DJ US TECHNOLOGY INDEX
DJUSTI,DJ US TECHNOLOGY SERVICES 
DJUSTK,DJ US TRUCKING INDEX
DJUSTL,DJ US TELECOMMUNICATIONS
DJUSTP,DJ US TOP CAP
DJUSTR,DJ US TIRES INDEX 
DJUSTS,DJ US TRANSPORTATION SRVCS
DJUSTY,DJ US TOYS INDEX
DJUSUT,DJ US UTILITIES INDEX
DJUSVA,DJ U.S. VALUE INDEX
DJUSVL,DJ US LARGE CAP VALUE
DJUSVM,DJ US MID CAP VALUE
DJUSVS,DJ US SMALL CAP VALUE IDX 
DJUSWC,DJ US WIRELESS COMMUNICA
DJUSWU,DJ US WATER UTILITIES
DJX,CBOE DOW JONES INDU AVER
DKDOW,DJ DENMARK
DNCNVT,DJ CANADA TOPCAP VALUE
DOT,STREET.COM INTERNET IDX
DPAA,AMEX Puts $ Vol Up
DPAD,AMEX Puts $ Vol Down
DPAT,AMEX Puts $ Vol Total
DPAU,AMEX Puts $ Vol Unchg
DPCA,CBOE Puts $ Vol Up
DPCD,CBOE Puts $ Vol Down
DPCT,CBOE Puts $ Vol Total
DPCU,CBOE Puts $ Vol Unchg
DPPA,PSE Puts $ Vol Up 
DPPD,PSE Puts $ Vol Down
DPPT,PSE Puts $ Vol Total
DPPU,PSE Puts $ Vol Unchg
DPXA,PHLX Puts $ Vol Up
DPXD,PHLX Puts $ Vol Down
DPXT,PHLX Puts $ Vol Total
DPXU,PHLX Puts $ Vol Unchg
DRG,AMEX PHARMACEUTICAL
DTX,CBOE DOW JONES TRANS IDX
DUX,CBOE DOW JONES UTIL AVER
DXE,DEUTSCHE BANK ENERGY
DXN,DIAMONDS NET ASSET VALUE
DXV,DIAMONDS INTRADAY VALUE
E1DOW,DJ EUROPE STK
E2DOW,DJ EUR (EXUK)
EFV,MSCI EAFE INDEX
FBY,PORK BELLIES INDEX
FEX,FORTUNE E-50 INDEX
FFX,FORTUNE 500 INDEX 
FIAH,AMEX New Fifty-Two Week Highs
FIAL,AMEX New Fifty-Two Week Lows
FIDOW,DJ FINLAND
FIKH,NASDAQ Others New Fifty-Two Week Highs
FIKL,NASDAQ Others New Fifty-Two Week Lows
FIMH,NASDAQ NMS New Fifty-Two Week Highs
FIML,NASDAQ NMS New Fifty-Two Week Lows
FINH,NYSE New Fifty-Two Week Highs
FINL,NYSE New Fifty-Two Week Lows
FIOH,NASDAQ 3rd Mkt New Fifty-Two Week Highs
FIOL,NASDAQ 3rd Mkt New Fifty-Two Week Lows
FIQH,NASDAQ Comb New Fifty-Two Week Highs
FIQL,NASDAQ Comb New Fifty-Two Week Lows
FISH,NASDAQ Sm Cap New Fifty-Two Week Highs
FISL,NASDAQ Sm Cap New Fifty-Two Week Lows
FIY,LONDON 100 INDEX
FPP,FOREST PAPER PRODUCTS
FRDOW,DJ FRANCE STOCK INDEX
FTII,LONDON 250 INDEX
FVS,5 YEAR TREASURY YIELD SET 
FVX,5 YEAR T-NOTE INTEREST RATE
FXV,FINANCIAL SEL SECTOR
GBDOW,DJ UK STOCK INDEX 
GHA,GOLDMAN SACHS HARDWARE
GIN,GOLDMAN SACHS INTERNET
GIP,GOLDMAN SACHS MULTIM NTW
GIY,GOLDMAN SACHS FUT PRICE
GJY,GOLDMAN SACHS ENERGY
GKY,GOLDMAN SACHS AGRICUL
GLI,MERRILL LYNCH GLOBAL MKT
GNX,GOLDMAN SACHS COMMOD
GOX,CBOE GOLD INDEX
GPY,GOLDMAN SACHS PREC MTLS
GRDOW,DJ GREECE 
GSM,GOLDMAN SACHS SEMICONDTR
GSO,GOLDMAN SACHS SOFTWARE
GSV,GOLDMAN SACHS SERVICES
GTC,GOLDMAN SACHS COMPOSITE
GTY,GOLDMAN SACHS TOT RTN
GVY,GOLDMAN SACHS LIVESTOCK
GYY,GOLDMAN SACHS IND MTLS
HGX,HOUSING INDEX
HHI,MERRILL LYNCH INT HOLDRS
HKDOW,DJ HONG KONG STOCK INDEX
HKHI,HONG KONG HANG SENG
HKO,AMEX HONG KONG
HKX,AMEX HONG KONG 30 
HMO,M S HEALTHCARE PAYORS
HUI,AMEX GOLD B U G S 
HWI,COMPUTER HARDWARE INDEX
IBH,BIOTECH HOLDRS IDX
ICCA,CBOE Calls Issues Advances
ICCD,CBOE Calls Issues Declines
ICCT,CBOE Calls Issues Total
ICCU,CBOE Calls Issues Unchg
ICX,AMEX E-COMMERCE INDEX
IEDOW,DJ IRELAND
IEX,FORTUNE E-50
IGBVL,LIMA GENERAL
IGPA,SANTIAGO IGPA
IHX,LEAN HOG-CME
II6A,S&P 500 Issues Advances
II6D,S&P 500 Issues Declines
II6T,S&P 500 Issues Total
II6U,S&P 500 Issues Unchg
IIAA,AMEX Issues Advances
IIAD,AMEX Issues Declines
IIAT,AMEX Issues Total 
IIAU,AMEX Issues Unchg 
IIMA,NASDAQ NMS Issues Advances
IIMD,NASDAQ NMS Issues Declines
IIMT,NASDAQ NMS Issues Total
IIMU,NASDAQ NMS Issues Unchg
IINA,NYSE Issues Advances
IIND,NYSE Issues Declines
IINT,NYSE Issues Total 
IINU,NYSE Issues Unchg 
IIOA,NASDAQ 3rd Mkt Issues Advances
IIOD,NASDAQ 3rd Mkt Issues Declines
IIOT,NASDAQ 3rd Mkt Issues Total
IIOU,NASDAQ 3rd Mkt Issues Unchg
IIQA,NASDAQ Comb Issues Advances
IIQD,NASDAQ Comb Issues Declines
IIQT,NASDAQ Comb Issues Total
IIQU,NASDAQ Comb Issues Unchg
IISA,NASDAQ Sm Cap Issues Advances
IISD,NASDAQ Sm Cap Issues Declines
IIST,NASDAQ Sm Cap Issues Total
IISU,NASDAQ Sm Cap Issues Unchg
IIX,INTERACTIVE INTERNET
IME,MEXICO BOLSA DE VALORES
IN10,SANTIAGO INTER-10 
INDJO,JOHANNESBURG INDUSTRIAL
INDSX,NASDAQ COMBINED INDU
INDU,DOW JONES 30 INDUSTRIALS
INSRX,NASDAQ COMBINED INSUR
IOVR,IRISH OVERALL,
IPCA,CBOE Puts Issues Advances 
IPCD,CBOE Puts Issues Declines 
IPCT,CBOE Puts Issues Total
IPCU,CBOE Puts Issues Unchg
IPH,PHARMACEUTICAL HLDRS IDX
IPSA,SANTIAGO IPSA,
IRX,CBOE TREAS YLD 13 WK
ITDOW,DJ ITALY
ITH,TELECOM HOLDRS INDEX
IUX,S&P INSURANCE SECTOR,I
IXB,AMEX BASIC INDUSTRIES
IXCO,NASDAQ COMPUTER-COMB
IXE,AMEX ENERGY SELECT INDEX
IXF,NASDAQ OTHER FINANCE
IXI,AMEX INDUSTRIAL SEL IDX
IXM,AMEX FINANCIAL SEL INDEX
IXR,AMEX CONSUMER STAPLES
IXT,AMEX TECHNOLOGY SEL IDX
IXU,AMEX UTILITY SELECT IDX
IXV,AMEX CONSUMER SERVICES
IXX,IPC STOCK 
IY,S&P COMMODITY INDEX
JAK,JAKARTA STOCK EXCHANGE
JOHA,JOHANNESBURG ALL MKT
JPDOW,DJ JAPAN STOCK INDEX
JPN,AMEX JAPAN
JX,S&P/TSX VENTURE COMP IDX
KLSE,KUALA LUMPUR COMPOSITE
KOREA,KOREA COMPOSITE INDEX
KSE,KARACHI 100
KVY,VALUE LINE ARITHMETIC
LSX,LSX LT INDEX
MADGEN,MADRID GENERAL
MADR,MADRID IBEX 35
MANILA,MANILA COMPOSITE
MBH,10 YEAR NOTE MAR 03
MBM,10 YEAR NOTE JUNE 03
MEX,MEXICO IPC,
MFF,MOTLEY FOOL 50 INDEX
MGD,MIDCAP 400 BARRA GROWTH
MGO,M S OIL SERVICES INDEX
MIB30,MIB 30
MIBTEL,MILAN MIBTEL GENERALE
MID,AMEX S&P MIDCAP 400
MLH,L/S TECH TRKRS
MLO,MERRILL LYNCH 100 TECH
MM&T,TSX METALS & MINRLS
MNX,CBOE MINI INDEX
MOX,MS INTERNET INDEX 
MRVBA,BUENOS AIRES MERVAL
MSH,MORGAN STAN HI-TECH 35
MUT,DOW 10 INDEX
MUV,MIDCAP 400 BARRA VALUE IDX
MVB,M S BIOTECH INDEX 
MVR,M S RETAIL INDEX
MXDOW,DJ MEXICO STOCK INDEX
MXV,S&P MIDCAP 400 INTRA VAL
MXY,AMEX MEXICO-EURO OP
NBI,NASDAQ BIOTECH-COMB
NCI,NATIONAL CORN INDEX
NCMP,NASDAQ NATL MKT COMP
ND,NYSE INDUSTRIAL
NDI,IND SM CAP INVESTOR 500
NDX,NASDAQ 100
NF,NYSE FINANCIAL
NFT,MORGAN STAN LONGTERM 50
NHB,NYSE BETA
NHIA,NEW HIGHS - AMERICAN
NHIN,NEW HIGHS - NYSE
NHINMS,NEW HIGHS - NMS
NHIOTC,NEW HIGHS - OTC
NHIT,NEW HIGHS - ALL NASDAQ
NIK,NIKKEI 225
NIND,NASDAQ NATL MKT INDU
NIX,SALOMON T SERIES INTERNET 
NLG,S&P EURO 350 IND FD
NLOA,NEW LOWS - AMERICAN
NLON,NEW LOWS - NYSE
NLONMS,NEW LOWS - NMS
NLOOTC,NEW LOWS - OTC
NLOT,NEW LOWS - ALL NASDAQ
NNA,NYSE UTILITIES
NSI,NATIONAL SOYBEAN INDEX
NV,NYSE TRANSPORTATION
NWX,NETWORKING
NY,U.S. 100 INDEX
NYA,NYSE COMPOSITE
NYI,NYSE INTERNATIONAL 100 INDEX
NYL,NYSE WORLD LEADERS INDEX
NYY,NYSE TMT INDEX,
NYZ,NYSE COMPOSITE - OLD
NZ40,NZSE-40 CAPITAL
OEX,S&P 100
OFINX,NASDAQ FINANCIAL 100
OIX,CBOE OIL INDEX
ONLIB,OVERNIGHT LIBOR RATE
OOC,LMC TRACKER INDEX 
OOI,S & P GLOBAL 100 INDEX
OSLO,OSLO ALL-SHARE INDEX
OSX,PHLX OIL SERVICE SECTOR
OTX,OTC PRIME SECTOR
P1LRG,DJ ASIA/PACIFIC LARGE CAP 
P1MID,DJ ASIA/PACIFIC MID CAP
P1SML,DJ ASIA/PACIFIC SMALL CAP 
PREM,S&P PREMIUM
PSE,PSE TECHNOLOGY
QIV,NASDAQ 100-POSTMARKET
QMI,NASDAQ 100-PREMARKET
QOY,BIFFEX PANAMAX IDX
QQV,QQQ VOLATILITY INDEX
QXV,NASDAQ 100 INTRA VALUE
REIT,D J EQ REIT TOT RTN IDX
RLG,RUSSELL 1000 GROWTH IDX
RLV,RUSSELL 1000 VALUE IDX
RLX,S&P RETAIL SECTOR 
RMS,MORGAN STANLEY REIT
RUA,RUSSELL 3000
RUI,RUSSELL 1000
RUJ,RUSSELL 2000 VALUE INDEX
RUO,RUSSELL 2000 GROWTH INDEX 
RUT,RUSSELL 2000,
RXH,M S HEALTHCARE PROVIDERS
RXP,M S HEALTHCARE PRODUCTS
RXS,PHILADELPHIA DRUG INDEX
S@@FIAHT,AMEX NEW 52 WEEK HIGHS
S@@FIALT,AMEX NEW 52 WEEK LOWS
S@@FIKHT,NASDAQ OTHERS 52 WK HIGHS 
S@@FIKLT,NASDAQ OTHERS 52 WEEK LOWS
S@@FIMHT,NASDAQ NMS 52 WEEK HIGHS
S@@FIMLT,NASDAQ NMS 52 WEEK LOWS
S@@FINHT,NYSE NEW 52 WEEK HIGHS
S@@FINLT,NYSE NEW 52 WEEK LOWS
S@@FIOHT,NASDAQ 3RD MKT 52 WK HIGHS
S@@FIOLT,NASDAQ 3RD MKT 52 WK LOWS 
S@@FIQHT,NASDAQ COMB 52 WEEK HIGHS 
S@@FIQLT,NASDAQ COMB 52 WEEK LOWS
S@@FISHT,NASDQ SM CAP 52 WEEK HIGHS
S@@FISLT,NASDAQ SM CAP 52 WEEK LOWS
S@@ISAA,AMEX ISS ADVANCES 
S@@ISAD,AMEX ISS DECLINES 
S@@ISAT,AMEX ISS TOTAL
S@@ISAU,AMEX ISS UNCHANGED
S@@ISNA,NYSE ISS ADVANCES 
S@@ISND,NYSE ISS DECLINES 
S@@ISNT,NYSE ISS TOTAL,
S@@ISNU,NYSE ISS UNCHANGED
