AVD,AMERICAN VANGUARD,04/21/2016
AVG,AVG TECHNOLOGIES,04/21/2016
AVH,AVIANCA HOLDINGS S.A.,04/21/2016
AVK,ADVENT CLAYMORE CONV & INC,04/21/2016
AVP,AVON PRODUCTS,04/21/2016
AVT,AVNET,04/21/2016
AVV,AVIVA,04/21/2016
AVX,AVX,04/21/2016
AVY,AVERY DENNISON,04/21/2016
AWF,ALLIANCEBERNSTEIN GLB HIGH,04/21/2016
AWH,ALLIED WORLD ASSURANCE,04/21/2016
AWI,ARMSTRONG WORLD INDSTRIES,04/21/2016
AWIw,ARMSTRONG WORLD INDSTRIES,04/21/2016
AWK,AMERICAN WATER WORKS,04/21/2016
AWP,ALPINE GLOBAL PREMIER PROP,04/21/2016
AWR,AMERICAN STATES WATER,04/21/2016
AWX,AVALON HOLDINGS,04/21/2016
AXE,ANIXTER INTERNATIONAL,04/21/2016
AXL,AMERICAN AXLE & MFG HLDGS,04/21/2016
AXN,AOXING PHARMACEUTICAL,04/21/2016
AXP,AMERICAN EXPRESS,04/21/2016
AXR,AMREP,04/21/2016
AXS,AXIS CAPITAL HOLDINGS,04/21/2016
AXU,ALEXCO RESOURCE,04/21/2016
AYA,AMAYA INC. COMMON STOCK,04/21/2016
AYI,ACUITY BRANDS,04/21/2016
AYR,AIRCASTLE,04/21/2016
AYT,IPATH GEMS ASIA 8 ETN,04/21/2016
AZN,ASTRAZENECA,04/21/2016
AZO,AUTOZONE,04/21/2016
AZZ,AZZ INC,04/21/2016
B,BARNES GROUP,04/21/2016
BA,BOEING,04/21/2016
BAA,BANRO,04/21/2016
BAB,POWERSHARES BUILD AMERICA,04/21/2016
BAC,BANK OF AMERICA CORP,04/21/2016
BACwA,BANK OF AMERICA WTS CL A,04/21/2016
BACwB,BANK OF AMERICA WTS CL B,04/21/2016
BAF,BLACKROCK MUNI IN INV QLTY,04/21/2016
BAH,BOOZ ALLEN HAMILTON,04/21/2016
BAK,BRASKEM,04/21/2016
BAL,IPATH BLOOMBERG COTTON TR,04/21/2016
BAM,BROOKFIELD ASSET,04/21/2016
BAP,CREDICORP,04/21/2016
BAS,BASIC ENERGY SERVICES,04/21/2016
BAX,BAXTER INTERNATIONAL,04/21/2016
BBC,BIOSHARES BIOTECHNOLOGY CL,04/21/2016
BBD,BANK BRADESCO,04/21/2016
BBF,BLACKROCK MUNICIPAL INCOME,04/21/2016
