SYMBOL	nAME
@RB	CHINESE RENMINBI/US DOLLAR
@RE	CHINESE RENMINBI/EURO
@RF	EURO FX/SWISS FRANC
@RFC	MINI RUSSELL 1000 TIC
@RG	RUSSELL 1000 GROWTH MINI
@RG2	RUSSELL 2000 GROWTH
@RGC	RUSSELL 1000 GROWTH TIC
@RGT	RUSSELL 1000 GROWTH (TAS)
@RMF	MINI RUSSELL 1000
@RP	EURO FX/BRITISH POUND
@RR	ROUGH RICE
@RU	RUSSIAN RUBLE
@RV	RUSSELL 1000 VALUE MINI
@RV2	RUSSELL 2000 VALUE
@RVC	RUSSELL 1000 VALUE TIC
@RVT	RUSSELL 1000 VALUE (TAS)
@RVX	CBOE RUSSELL 2000 VOLATILITY INDEX
@RY	EURO FX/JAPANESE YEN
@S	SOYBEANS
@S7C	SOYBEANS CSO
@SB	SUGAR #11 WORLD
@SBT	SUGAR #11 - WORLD (TAS)
@SD	SAN DIEGO HOME PRICE INDEX
@SEK	SWEDISH KRONA
@SF	SWISS FRANC
@SFI	SUGAR #16
@SG	S&P/BARRA GROWTH INDEX
@SIR	INR/USD STANDARD
@SJY	SWISS FRANC/JAPANESE YEN
@SM	SOYBEAN MEAL
@SMC	E-MINI S&P SMALLCAP 600
@SOT	SOYBEANS TAS
@SP	S&P 500 INDEX
@SPO	EURODOLLAR CSO SYNTHETIC
@SQ2	SOYBEANS CSO CONSECUTIVE SYNTHETIC
@SQ5	SOYBEANS CSO JUL-NOV SYNTHETIC
@SU	S&P/BARRA VALUE INDEX
@T1	2 YEAR USD INTEREST RATE SWAP
@T1E	2 YEAR EUR INTEREST RATE SWAP
@TFC	MINI RUSSELL 2000 TIC
@TFS	MINI RUSSELL 2000
@TFT	MINI RUSSELL 2000 (TAS)
@TOB	3 YR NOTE- T BOND
@TOF	3 YR- 5 YR US TREASURY NOTE
@TOU	3 YR NOTE- ULTRA TBOND
@TRE	TURKISH LIRA (EURO)
@TRE	TURKISH LIRA (EURO)
@TRM	TURKISH LIRA/US DOLLAR
@TRY	TURKISH LIRA (USD)
@TU	2 YR US TREASURY NOTE
@TUB	2 YR NOTE- 30 YR T BOND
@TUF	2 YR- 5 YR US TREASURY NOTE
@TUL	2 YR NOTE- ULTRA TBOND
@TUT	2 YR- 10YR US TREASURY NOTE
@TUY	3 YR- 10 YR US TREASURY NOTE
@TY	10 YR US TREASURY NOTE
@TYT	2 YR- 3 YR US TREASURY NOTE
@UB	ULTRA US TREASURY BOND
@US	US TREASURY BOND
@V2C	RUSSELL 2000 VALUE TIC
@V2T	RUSSELL 2000 VALUE TAS
@VA	S&P 500 VARIANCE FUTURES
@VAQ	AUD/USD VARIANCE QUARTERLY
@VAS	AUD/USD VARIANCE SEMI ANNUAL
@VAY	AUD/USD VARIANCE ANNUAL
@VBQ	BRENT CRUDE VARIANCE QUARTERLY
@VBS	BRENT CRUDE VARIANCE SEMI ANNUAL
@VBY	BRENT CRUDE VARIANCE ANNUAL
@VC	US $/CZECH KORUNA
@VEA	EURO/USD VARIANCE ANNUAL
@VEQ	EURO/USD VARIANCE QUARTERLY
@VES	EURO/USD VARIANCE SEMI ANNUAL
@VGA	GOLD VARIANCE ANNUAL
@VGQ	GOLD VARIANCE QUARTERLY
@VGS	GOLD VARIANCE SEMI ANNUAL
@VI	HDD - WASHINGTON REAGAN INTL
@VJQ	JPY/USD VARIANCE QUARTERLY
@VJS	JPY/USD VARIANCE SEMI ANNUAL
@VJY	JPY/USD VARIANCE ANNUAL
@VLA	CRUDE OIL VARIANCE ANNUAL
@VLR	CRUDE OIL VARIANCE QUARTERLY
@VLR	CRUDE OIL VARIANCE QUARTERLY
@VLS	CRUDE OIL VARIANCE SEMI ANNUAL
@VNA	NATURAL GAS VARIANCE ANNUAL
@VNQ	NATURAL GAS VARIANCE QUARTERLY
@VNS	NATURAL GAS VARIANCE SEMI ANNUAL
@VPA	GBP/USD VARIANCE ANNUAL
@VPQ	GBP/USD VARIANCE QUARTERLY
@VPS	GBP/USD VARIANCE SEMI ANNUAL
@VSQ	SILVER VARIANCE QUARTERLY
@VSS	SILVER VARIANCE SEMI ANNUAL
@VSY	SILVER VARIANCE ANNUAL
@VU	US $/HUNGARIAN FORINT
@VX	CBOE VOLATILITY INDEX
@VXE	CBOE EMERGING MARKETS ETF VOLATILITY
@W	WHEAT
@WQ6	WHEAT CSO JUL-DEC SYNTHETIC
@XAB	E-MINI S&P 500 MATERIALS SECTOR
@XAE	E-MINI S&P 500 ENERGY SECTOR
@XAF	E-MINI S&P 500 FINANCIAL SECTOR
@XAI	E-MINI S&P 500 INDUSTRIAL SECTOR
@XAK	E-MINI S&P 500 TECHNOLOGY SECTOR
@XAP	E-MINI S&P 500 CONSUMER STAPLES
@XAU	E-MINI S&P 500 UTILITIES SECTOR
@XAV	E-MINI S&P 500 HEALTH CARE SECTOR
@XAY	E-MINI S&P 500 CONSUMER DISCRETIONARY
@YA	AUSTRALIAN $/JAPANESE YEN
@YC	MINI CORN
@YG	MINI GOLD
@YI	1000 OZ MINI SILVER
@YK	MINI SOYBEAN
@YM	E-MINI DOW JONES $5
@YW	MINI WHEAT
@YW	MINI WHEAT
@YZ	EURO/SO AFR. RAND
@Z3W	WHEAT CSO MAR-JUL SYNTHETIC
@ZAR	USD/SOUTH AFRICAN RAND
@ZCT	CORN TAS
@ZG	GOLD 100 OZ
@ZI	SILVER 5000 OZ
@ZLT	SOYBEAN OIL TAS
@ZMT	SOYBEAN MEAL TAS
@ZR	US $/SOUTH AFRICAN RAND
@ZWC	WHEAT CSO DEC-DEC SYNTHETIC
@ZWT	WHEAT TAS
+SP	S&P 500 INDEX
7FT	EUROPEAN GASOIL TAS
AACM	COAL (API 5) FOB NEWCASTLE
BC	SOYBEAN CRUSH
BH	NY HARBOR ULSD BULLET
